 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Ni1
 Reduced formula:  Ni
 space group: (Fm-3m), space number:  (225)
 abc:  2.457299   2.457299   2.457299
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
 Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
 PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   13      icalc       2
 -----------------------------------------------------------------------
   4  12.000   4.9146    2.5812  -11.35689 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
     1.7376   -1.7376   -0.0000  1  28 Ni
     3.4752   -3.4752   -0.0000  1  28 Ni
     1.7376   -1.7376   -0.0000  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.3073E+00  1.1879E-05 -5.8170E+00  1.004E+00  2.0077E+01  2.0761E+00
  0.100  3.3071E+00  9.2517E-03 -6.7821E+00  1.004E+00  2.0099E+01  2.0784E+00
  0.200  3.3065E+00  1.8240E-02 -7.7156E+00  1.005E+00  2.0163E+01  2.0853E+00
  0.300  3.3054E+00  2.6733E-02 -8.6164E+00  1.005E+00  2.0265E+01  2.0967E+00
  0.400  3.3037E+00  3.4555E-02 -9.4848E+00  1.005E+00  2.0394E+01  2.1127E+00
  0.500  3.3015E+00  4.1608E-02 -1.0321E+01  1.006E+00  2.0538E+01  2.1330E+00
  0.600  3.2985E+00  4.7835E-02 -1.1127E+01  1.006E+00  2.0682E+01  2.1576E+00
  0.700  3.2946E+00  5.3255E-02 -1.1901E+01  1.007E+00  2.0809E+01  2.1863E+00
  0.800  3.2897E+00  5.7919E-02 -1.2645E+01  1.008E+00  2.0898E+01  2.2191E+00
  0.900  3.2835E+00  6.1891E-02 -1.3359E+01  1.009E+00  2.0932E+01  2.2558E+00
  1.000  3.2759E+00  6.5240E-02 -1.4043E+01  1.011E+00  2.0895E+01  2.2962E+00
  1.100  3.2666E+00  6.8021E-02 -1.4698E+01  1.012E+00  2.0773E+01  2.3402E+00
  1.200  3.2554E+00  7.0276E-02 -1.5324E+01  1.014E+00  2.0557E+01  2.3877E+00
  1.300  3.2421E+00  7.1997E-02 -1.5920E+01  1.017E+00  2.0247E+01  2.4387E+00
  1.400  3.2264E+00  7.3242E-02 -1.6487E+01  1.019E+00  1.9847E+01  2.4929E+00
  1.500  3.2079E+00  7.3964E-02 -1.7026E+01  1.023E+00  1.9368E+01  2.5504E+00
  1.600  3.1865E+00  7.4130E-02 -1.7535E+01  1.026E+00  1.8825E+01  2.6112E+00
  1.700  3.1617E+00  7.3693E-02 -1.8014E+01  1.030E+00  1.8240E+01  2.6751E+00
  1.800  3.1332E+00  7.2595E-02 -1.8463E+01  1.034E+00  1.7634E+01  2.7421E+00
  1.900  3.1006E+00  7.0783E-02 -1.8878E+01  1.039E+00  1.7030E+01  2.8124E+00
  2.000  3.0635E+00  6.8197E-02 -1.9256E+01  1.043E+00  1.6452E+01  2.8859E+00
  2.200  2.9742E+00  6.0616E-02 -1.9877E+01  1.052E+00  1.5461E+01  3.0432E+00
  2.400  2.8462E+00  5.0399E-02 -2.0187E+01  1.058E+00  1.4825E+01  3.2226E+00
  2.600  2.7120E+00  4.3791E-02 -2.0049E+01  1.179E+00  8.5434E+00  3.4077E+00
  2.800  2.6939E+00  4.2741E-02 -2.0196E+01  1.240E+00  6.8412E+00  3.5446E+00
  3.000  2.6749E+00  6.3481E-02 -2.0587E+01  1.263E+00  6.1517E+00  3.6790E+00
  3.200  2.6300E+00  1.0188E-01 -2.1174E+01  1.268E+00  5.8227E+00  3.8235E+00
  3.400  2.5717E+00  1.5902E-01 -2.1820E+01  1.261E+00  5.6793E+00  3.9738E+00
  3.600  2.5049E+00  2.3896E-01 -2.2414E+01  1.250E+00  5.6442E+00  4.1293E+00
  3.800  2.4308E+00  3.4470E-01 -2.2949E+01  1.233E+00  5.6801E+00  4.2895E+00
  4.000  2.3517E+00  4.7748E-01 -2.3410E+01  1.218E+00  5.7662E+00  4.4537E+00
  4.200  2.2696E+00  6.3388E-01 -2.3811E+01  1.198E+00  5.8902E+00  4.6217E+00
  4.400  2.1843E+00  8.1001E-01 -2.4160E+01  1.180E+00  6.0440E+00  4.7929E+00
  4.600  2.0969E+00  1.0013E+00 -2.4469E+01  1.164E+00  6.2222E+00  4.9669E+00
  4.800  2.0089E+00  1.1992E+00 -2.4737E+01  1.148E+00  6.4209E+00  5.1436E+00
  5.000  1.9196E+00  1.4011E+00 -2.4979E+01  1.133E+00  6.6373E+00  5.3225E+00
  5.200  1.8297E+00  1.6026E+00 -2.5198E+01  1.119E+00  6.8693E+00  5.5033E+00
  5.400  1.7394E+00  1.7963E+00 -2.5391E+01  1.106E+00  7.1151E+00  5.6860E+00
  5.600  1.6485E+00  1.9806E+00 -2.5569E+01  1.093E+00  7.3735E+00  5.8702E+00
  5.800  1.5578E+00  2.1490E+00 -2.5733E+01  1.081E+00  7.6435E+00  6.0558E+00
  6.000  1.4671E+00  2.3000E+00 -2.5881E+01  1.070E+00  7.9241E+00  6.2426E+00
  6.500  1.2435E+00  2.5757E+00 -2.6209E+01  1.045E+00  8.6678E+00  6.7142E+00
  7.000  1.0276E+00  2.7097E+00 -2.6488E+01  1.025E+00  9.4655E+00  7.1910E+00
  7.500  8.2185E-01  2.7287E+00 -2.6732E+01  1.010E+00  1.0311E+01  7.6719E+00
  8.000  6.2643E-01  2.6668E+00 -2.6950E+01  9.978E-01  1.1201E+01  8.1559E+00
  8.500  4.3673E-01  2.5346E+00 -2.7152E+01  9.874E-01  1.2132E+01  8.6424E+00
  9.000  2.5604E-01  2.3618E+00 -2.7344E+01  9.778E-01  1.3102E+01  9.1308E+00
  9.500  8.0889E-02  2.1700E+00 -2.7533E+01  9.673E-01  1.4107E+01  9.6208E+00
 10.000 -8.9009E-02  1.9839E+00 -2.7716E+01  9.569E-01  1.5148E+01  1.0112E+01
 11.000 -4.1191E-01  1.6487E+00 -2.8062E+01  9.425E-01  1.7327E+01  1.1098E+01
 12.000 -7.1315E-01  1.3607E+00 -2.8390E+01  9.339E-01  1.9632E+01  1.2087E+01
 13.000 -9.9127E-01  1.1317E+00 -2.8697E+01  9.290E-01  2.2053E+01  1.3078E+01
 14.000 -1.2475E+00  9.5442E-01 -2.8977E+01  9.269E-01  2.4586E+01  1.4070E+01
 15.000 -1.4866E+00  8.3043E-01 -2.9241E+01  9.260E-01  2.7226E+01  1.5064E+01
 16.000 -1.7079E+00  7.3675E-01 -2.9517E+01  9.263E-01  2.9967E+01  1.6059E+01
 17.000 -1.9146E+00  6.3196E-01 -2.9804E+01  9.271E-01  3.2806E+01  1.7054E+01
 18.000 -2.1078E+00  5.2609E-01 -3.0058E+01  9.282E-01  3.5739E+01  1.8050E+01
